Respondent,,React,Spring,.NET Core,Django,Cordova,Angular,Hadoop,Node.js,TensorFlow,Torch/PyTorch,Xamarin,Spark
20201,,,,,,,,,,,,,
20202,,1,,,,1,1,,1,,,,
20203,,,,,,,,,,,,,
20204,,,,,,,,,,,,,
20206,,,,,,,,,1,,,,
20211,,1,,,,,,,1,,,,
20213,,,,,,,,,,,,,
20215,,1,,,,,,,1,,,,
20216,,,1,,,,1,1,,,,,1
20217,,,,,,,,,,,,,
20219,,,,,1,,,,,,,,
20221,,,,,,,,,,,,,
20222,,,,,,,,,,,,,
20223,,,,,,,,,,,,,
20224,,,,,,,,,,,,,
20225,,1,,,,,,,,,,,
20226,,,1,,,,1,,,,,,
20230,,,,,,,,,,,,,
20231,,,,1,,,,,,,,,
20232,,,,,,1,,,,,,,
20233,,,1,,,,,,,,,,
20234,,,,,,,,,1,,,,1
20235,,,,,,,,,,,,,
20236,,1,,,,,,,,,,,
20238,,1,1,,,,1,1,1,,,,
20240,,,,,,1,,,1,,,1,
20241,,,,,,,,,,,,,
20242,,,,,,,,1,1,,,,1
20243,,,,,,,,,,,,,
20244,,,1,,,,,,,,,,
20245,,,,,1,,,,,,,,
20246,,,,,,,,,,,,,
20247,,,,,,,,,,,,,
20248,,,,,,1,1,,1,,,,
20249,,,,1,,,,,,,,1,
20250,,,,,,,,,,,,,
20252,,,,,,,,,,1,,,
20253,,,,,,,,1,,,,,1
20258,,,,,,,,,,,,,
20259,,,,1,,,1,,1,,,,
20260,,1,,,,,,,1,,,,
20262,,,,,,,1,,,,,,
20263,,,1,,,,1,,,,,,
20264,,,,1,,,,,1,,,1,
20266,,1,,,,,1,,1,,,,
20268,,,,,,,,,,,,,
20269,,,,,,,,,,,,,
20270,,,,,,,,,,,,,
20271,,,,,,,,,,,,,
20273,,,1,,,,,,,,,,
20274,,,,,,,,,,,,,
20275,,,,,,,1,,1,,,,
20278,,,,,,,,,,,,,
20279,,,,,,,,,,,,,
20280,,,,,,,1,,1,,,,
20281,,1,,,,,,,,,,,
20282,,,,1,,,,,,,,,
20283,,,,,,,,,1,,,,
20285,,,,1,,,1,,1,,,1,
20286,,,,,,,,,,,,,
20288,,,,1,,,,,1,,,,
20289,,,,,,,,,,,,1,
20290,,,,,1,,,,,,,,
20291,,,,,,,,,1,,,,
20292,,,,1,,,,,,1,,,
20293,,,,,,,,,,,,,
20294,,1,,,,,,,1,,,,
20295,,,,,,,1,,1,,,,
20298,,,,1,,,1,,,,,,
20299,,,,1,1,,,,,,,,
20301,,,,,,,,,,,,,
20304,,,,1,,,,,,,,,
20305,,,,,,,,,,,,,
20307,,,1,,,,,,,,,,
20308,,,1,,,,,,,,,,
20309,,,,1,,,,,,,,,
20310,,,,,,,,,,,,,
20311,,,,,,,,,,,,,
20312,,,,,,1,1,,1,,,,
20315,,1,,,,,,,1,,,,
20316,,,1,,,,1,,1,1,1,,
20317,,,,,,,1,,1,,,,
20318,,,,,,,,,,,,,
20319,,,,,,,,,,,,,
20321,,,,,,,,,,,,,
20326,,1,,,,,,1,1,1,,,1
20327,,,,1,,,1,,1,,,,
20328,,,,,1,,,,,,,,
20329,,,1,1,,,1,,1,,,,
20330,,,,1,,,1,,,,,,
20331,,,,,,,1,,1,,,,
20332,,,,,,,,,,,,,
20333,,,1,1,,,1,,,,,,
20334,,1,,1,,,,,,,,,
20335,,,,,1,,,,,,,,
20337,,,,,,,,,1,,,,
20338,,,,,,,,,,,,,
20343,,,,,,,,,,,,,
20344,,,,1,,,,,,,,,
20346,,,,,,,,,,,,,
20349,,,,,,,,,,,,,
20351,,,,,,,,,,,,,
20352,,,,,,,,,,,,,
20353,,,,,,,,,1,,,,
20354,,,,,,,,,1,,,,
20357,,,,,,,,,,,,,
20359,,,,,,,,,,,,1,
20360,,,,,,,,,1,,,,
20361,,,,,,,,,,,,,
20363,,,1,,,,1,,1,,,,
20365,,,,,,,,,,,,,
20366,,,,,,,1,,1,1,1,,
20367,,,1,1,,,,,1,,,,
20368,,,,,,,,,1,,,,
20369,,,,,1,,,,,1,,,
20371,,,,,,,,,,,,,
20372,,,,,,,,,,,,,
20373,,1,,,,,,,,,,,
20374,,,,1,,,1,,,,,1,
20375,,1,,,,,,,1,,,,
20377,,,,,,,,,,,,,
20378,,,,,,,,,,,,,
20379,,1,,,,,,,1,,,,
20380,,,,1,,,,,,,,,
20381,,,,,,,,,1,,,,
20382,,,,,,,,,1,,,,
20383,,,,1,,,,,,,,,
20385,,,,1,,,,,,,,,
20387,,,,,,,,,,,,,
20388,,,,,,,,,,,,,
20389,,1,,,,,,,,,,,
20390,,,,,1,,,,,1,,,
20392,,,1,,1,,1,,1,,,,1
20393,,,,1,,,,,,1,,1,
20395,,,,,,,,,,,,,
20396,,,1,1,,1,,,1,,,1,
20397,,,,,,,,,,,,,
20398,,,,,,1,,,,,,,
20399,,,,,,,,,,,,,
20401,,1,,,,,,,1,,,,
20403,,,,,,,,,,,,,
20404,,,,,,,1,,1,,,,
20405,,,,1,1,,1,,1,,1,,
20406,,,,,1,,,,1,,,,
20407,,,,,,,,,,1,,,
20408,,,,,1,,,,1,,,,
20409,,,,,,,,,,,,,
20411,,,1,,,,1,,,,,,
20413,,,,1,,,,,,,,,
20414,,1,1,,,,1,,1,,,,
20415,,,,,,,1,,1,,,,
20416,,,1,,,,1,,,,,,
20417,,,,,,,,,,,,,
20418,,,,,,,,,,,,,
20419,,,,,,,,,,,,,
20420,,,,,,,,,,,,,
20421,,,,,,,,,,,,,
20422,,,,,,,,,1,,,,
20423,,,,,,,,,,,,,
20424,,,,,,,,,,,,,
20425,,1,,,,,,,,,,,
20426,,,,,1,,,,,,,,
20427,,,,,,,,,,,,,
20428,,,,,,,,,,,,,
20429,,,,,,,,,,,,,
20430,,,,,,,,,,,,,
20431,,,,,,,,,,,,,
20432,,,,,,,,,,,,,
20433,,,,,,,,1,,,,,1
20434,,,,,,,,,1,,,,
20435,,,,,1,,1,,,,,,
20436,,,,,,,,,,,,,
20441,,,,,,,,,,,,,
20442,,,,,,,,,,1,,,
20446,,1,,,,,,,1,,,,
20447,,,,,,,,,,,,,
20448,,,,1,,,1,,,,,,
20449,,1,,,,1,,,1,,,,
20450,,,1,,,,1,,1,,,,
20451,,,,,,,,,,,,,
20452,,,1,1,,,1,,1,,,,
20453,,,,,,,1,,,,,,
20454,,,,,,,,1,,,,,
20455,,,,,,,,,,,,,
20456,,,,,,,,,,,,,
20457,,,,,,,,,,,,,
20458,,1,,,,,1,,1,,,,
20459,,,,1,,,1,,1,,,,
20460,,,,,,,1,,,,,,
20461,,,,,,,,,,,,,
20462,,,,,,,,,,,,,
20465,,,,,,,,,,,,,
20466,,,,1,,,,,,1,,,
20467,,,,1,,,,,1,,,,
20469,,,,1,,,,,,,,1,
20471,,,,1,,1,1,,1,,,1,
20472,,,,,,,1,,,,,,
20473,,,,,,,,,,,,,
20474,,,,,,,,,,,,,
20475,,,,,,,,,,,,,
20476,,,1,,,,1,,,,,,
20479,,,,1,,,,,,,,1,
20481,,,,,1,,,,,,,,
20483,,,,,,,,,,,,,
20486,,1,,,,,1,,1,,,,
20487,,1,,,,,,,1,,,,
20488,,,,1,,,,,,,,,
20489,,,1,,,,1,1,,,,,1
20490,,,,,,,,,,,,,
20491,,,1,,,,1,,,,,,
20492,,,,1,,,,,,,,,
20494,,,,,,,,,,,,,
20495,,,,1,,,,,,,,,
20496,,,,,,,1,,,,,,
20497,,,,,,,,,,,,,
20498,,,,,,,,,,,,,
20499,,1,,,,,,,,,,,
20501,,1,,,,,1,,1,,,,
20504,,,,,,,,,,,,,
20506,,,,,,,1,,,,,,
20507,,,,,,,,,,,,,
20508,,,,,,,,,1,,,,
20509,,,,,,,,,,,,,
20510,,,,,,,,,1,,,,
20511,,1,,,,,,,1,,,,
20512,,,,,,,,,,,,,
20514,,,,1,,,1,,,,,,
20516,,,,,,,,,,,,,
20518,,,,,,,,,,,,,
20519,,,,,,,1,,,,,,
20520,,,,,,,,,,,,,
20523,,1,,,,,,,,,,,
20525,,,,,,,,,,,,,
20527,,,,,,,,,,,,,
20529,,,1,,,,,,,,,,
20531,,1,,,,,,,1,,,,
20532,,1,,,,,1,,1,,,,
20533,,,,,1,,1,,,1,,,
20534,,,,1,,,,,,,,,
20537,,,,,,,,,,,,,
20538,,,,,,,,,1,,,,
20539,,,,,,,,,1,,,,
20540,,,,,,1,1,,1,,,,
20541,,,1,,,,,,,,,,
20542,,,,,,,,,,,,,
20546,,,,,,,,,1,,,,
20547,,,,,,,,,1,,,,
20548,,,,,,,,,,,,,
20549,,1,,,,,,,,,,,
20550,,,,,,,,,,,,,
20551,,,,,,,,,,,,,
20552,,,,,,,,,,,,,
20553,,,,,1,,1,,,,,,
20554,,,,,,,,,,,,,
20555,,,,,,,,,,,,,
20556,,,,,,,,,,,,,
20557,,,1,,,,,,,,,,
20560,,1,,,,,,,1,,,,
20561,,1,,,,,1,,1,,,,
20562,,,,,,1,1,,1,,,,
20563,,,,,1,,,,1,,,,
20564,,,,,,,1,,1,,,,
20565,,1,,,,,,,1,,,,
20569,,,,,,,1,,,,,,
20571,,,,,,,,,,,,,
20572,,,,1,,,,,,,,,
20573,,,,,,,,,,,,,
20574,,,,,,1,1,,1,,,1,
20576,,,,,1,,1,,1,,,,
20579,,,,,,,,,,,,,
20580,,,,,,,,,,,,,
20581,,,,,,,,,,,,,
20584,,,1,,,,,,,,,,
20586,,,,,,,1,,,,,,
20587,,,,,,,,,,,,,
20588,,,1,,,,,,,,,,
20589,,,,,,,,,,,,,
20591,,,,,,,1,,1,,,,
20592,,,,,1,,,,1,,,,
20593,,,,,,,,,,,,,
20594,,,,1,,,,,,,,,
20595,,,,1,,,,,1,,,,
20596,,,,,,,,,,,,,
20597,,,,,,,,,,,,,
20600,,,,,,,,,,,,,
20601,,,,,,,,,,,,,
20602,,,,,,,,,,,,,
20603,,,,,,,,1,,,,,1
20604,,1,1,,,,,,,,,,
20605,,,,,,,,,,,,,
20608,,,1,,,,,,,,,,
20609,,,,,,,,,,,,,
20610,,,,,,,1,,,,,,
20611,,,,,,,1,,1,,,,
20613,,,,1,,1,,,1,,,1,
20614,,,,,,,,,,,,,
20615,,1,1,,,,,,1,,,,
20616,,,,,,,,,,,,,
20618,,,,1,,,,,,,,,
20619,,,,,,,,,,,,,
20621,,,,,1,,,,,,,,
20622,,,,,,,,,,,,,
20623,,,,,,,1,,1,,,,
20624,,,,1,,,,,,,,1,
20625,,1,,,1,1,1,,1,,,,
20626,,,,1,,1,1,,1,,,,
20628,,,1,1,,,1,,,,,,
20629,,,,,,1,,,1,,,,
20632,,,,,,,,,,,,,
20633,,,,,,,1,,,,,,
20634,,,,1,,,1,,,,,,
20635,,,,,,,,,,,,,
20636,,,,,,,,,,,,,
20637,,,,,,,,,,,,,
20638,,,,,,,,,,,,,
20639,,,,,,,,,,,,,
20640,,,,,,,,,1,,,,
20641,,,,1,1,,1,,1,,,,
20642,,1,,,,,,,1,,,,
20643,,,,,,,,,1,,,,1
20644,,,,,,,,,,,,,
20645,,,,,,,,,,,,,
20647,,,,,,,,,,,,,
20648,,1,,,,,,,1,,,,
20649,,1,,,,,,,,,,,
20650,,,,,,,,,,,,,
20651,,1,,,,,,,1,,,,
20654,,,1,,1,,,,1,,,,
20656,,,,,,,,,,,,,
20657,,,,,,,,,,,,,
20658,,,,,,,,,,,,,
20659,,,,1,1,,,,1,,,,
20661,,,,1,,,1,,1,,,,
20663,,,,,,,,,1,,,,
20664,,,,1,,,1,,1,,,,
20665,,,,,,,,,,,,,
20666,,,,1,,,,,,,,,
20667,,,,,,,,,,,,,
20668,,,,,1,1,1,,1,,,,
20669,,,,,,,,,,1,,,
20670,,,,,,,1,,,,,,
20673,,,,,,,,,,,,,
20674,,,,,,,,,,,,,
20675,,,1,,,,,,,,,,
20676,,,,,,,,,,1,,,
20681,,,,,,,,,1,,,,
20682,,,,,,,,,,,,,
20683,,1,,,,,,,,,,,
20684,,1,,,,,1,,1,,,,
20685,,,,1,,,1,,1,,,1,
20686,,,,1,1,,1,,1,,,1,
20687,,,,,,,,,,,,,
20689,,,,1,,,,,,,,,
20691,,,,,1,,1,,,,,,
20692,,,,,1,,,,,,,,
20694,,,,,,,,1,,,,,
20696,,,,,,,,,,,,,
20698,,,,,,,,,,,,,
20699,,1,,1,,,1,,1,,,,
20701,,,,,,,,,,,,,
20702,,,,,,,,,1,,,,
20704,,,,,,,,,,,,,
20705,,,1,,,,1,,1,,,,
20707,,,,,1,,1,,,,,,
20709,,,,,,,,,,,,,
20710,,,,,,,,,,,,,
20712,,,,,,,,,,,,,
20713,,,,,,,,,,,,,
20714,,1,,,1,,1,,,,,,
20715,,,,,1,,,,,,,,
20717,,,,1,,,,,,,,,
20718,,,,,,,,,,,,,
20719,,,,,,,,,1,,,,
20720,,,,,,,,,1,,,,
20721,,,1,,,,,,,,,1,
20722,,,,,,,,,1,,,,
20726,,,,,,,,,1,,,,
20727,,1,,,,,1,,1,,,,
20728,,,,,,,1,,,,,,
20732,,1,,,,,,,1,,,,
20734,,,,,,,,,,,,,
20735,,,,,,,,,,,,,
20736,,1,,,,,,,1,,,,
20737,,,,,,,,,,,,,
20740,,1,,,1,,,,,,,,
20741,,1,,,1,,1,,1,,,,
20742,,,,,,,1,,1,,,,
20743,,,1,,,,,1,,,,,
20744,,1,,1,,,,,1,,,,
20745,,,1,,,,,,,,,,
20746,,,,1,,,1,,,,,,
20747,,,,1,,,1,,1,,,,
20748,,,,,,,,,,,,,
20750,,,,,,,,,,,,,
20751,,1,,,1,,1,,1,,,,
20753,,,,,,,,,,,,,
20756,,1,,,1,,,,1,,,,
20758,,,,,,,,,,,,,
20759,,,,,,,1,,,,,,
20760,,,,1,,,,,,,,,
20761,,,1,,,,,,,,,,1
20762,,,,,,,,,1,1,,,
20763,,,,,,,1,,1,,,,
20764,,,,,1,,,,,,,,
20765,,1,,,,,,,1,,,,
20766,,1,1,,,,,,,,,,
20767,,,,,,,,,,,,,
20768,,,,,,,,,,,,,
20769,,,,1,,,1,,1,,,,
20770,,,,,,,,,,,,,
20773,,,,,1,,,,1,,,,
20775,,,,,,,,,1,,,,
20776,,1,1,,,,,,1,,,,
20778,,,,,,,,,,,,,
20779,,,1,,,,,,1,,,,
20780,,,1,,,,,,,,,,
20781,,1,,,,,1,,,,,,
20784,,,,,,,,,1,,,,
20785,,,,,,,,,,,,,
20786,,,,,,,,,,,,,
20788,,,,1,,,,,,,,,
20790,,,,,,,,,,1,,,
20794,,,,,,,1,1,,,,,
20795,,,,1,,,,,,,,,
20797,,1,,,,,,,,,,,
20798,,,,,,,,,,1,,,
20799,,,,1,,,1,,,,,,
20801,,,,,,,,,,,,,
20802,,,,,,,1,,1,,,,
20803,,,1,,,,,,,,,,
20806,,,,,,,,,,,,,
20807,,1,,,,,,,,,,,
20809,,,,,,,,,,,,,
20812,,,,,,,,,,,,,
20814,,,,,,1,1,,,,,,
20815,,1,,,,,,,1,,,,
20816,,,1,,,,,,,,,,
20817,,1,,,,,,,1,,,,
20819,,,,,,,,,,,,,
20820,,,,1,,,,,,,,,
20823,,,,,,,,,,,,,
20825,,1,,1,,,1,,,,,,
20826,,,,1,,,,,,,,,
20827,,1,,,,,,,1,,,,
20830,,,,,,,,,,,,,
20831,,,,,,,,,,,,,
20832,,,,,,,,,,,,,
20833,,,,,,,,,,,,,
20835,,,,,,,,,,,,,
20836,,1,,,,,1,,1,,,,
20837,,,1,1,,,,,1,,,,
20838,,,,,,,,,,,,,
20840,,,,,,,1,,1,,,,
20841,,,,,,,,,,,,,
20844,,,,,,,,,,,,,
20845,,,,,,,1,,1,,,,
20846,,,,,,,,,,,,,
20847,,,,,,,,,,,,,
20848,,,,,1,,,,,,,,
20849,,,,1,,,,,,,,,
20851,,,,,,,,,,,,,
20852,,,,,,,,,,1,,,
20853,,,,,,,,,,,,,
20854,,,,,,,,,,,,,
20855,,,,,,,,,,,,,
20856,,1,1,,,,,,,,,,
20857,,,,,,,,,,,,,
20858,,,,,,,,,,,,,
20859,,1,,,,,,,1,1,,,
20861,,,,,,,,,,,,,
20862,,,,,,,,,,,,,
20863,,,,,,,,,,,,,
20864,,,,,,,,,,,,,
20865,,,,1,,,,,,,,,
20866,,,,,,,,,1,,,,
20867,,1,,,1,,,,1,,,,
20868,,,,,,,1,,,,,,
20869,,,,,,,,1,,,,,
20870,,,,,,,,,,,,,
20871,,,1,,,,,,,,,,
20873,,,,,,,1,,1,,,,
20874,,,,,,1,1,,,,,,
20875,,,,,,,,,,,,,
20877,,,,,,,,,,,,,
20879,,,1,,,,,,,,,,1
20880,,1,,1,,,1,,1,,,,
20881,,,,,,,,,,,,,
20882,,1,,,,,,,1,,,,
20883,,,,,1,,,,,,,,
20884,,,,,,,,,,,,,
20885,,,,,,,,,,,,,
20887,,,,,,,,1,,,,,1
20888,,,,,,,,,,,,,
20889,,,,,,,,,,,,,
20890,,,,,,,,,,,,,
20891,,,,,,,,,,,,,
20892,,,1,,,,,,,,,,
20893,,,1,,,,1,,1,,,,
20894,,,,1,,,1,,1,,,,
20895,,1,,1,,,1,,1,,,,
20898,,1,1,,,,,,1,,,,
20900,,,,,,,,,,,,,
20901,,,,,,,,,,,,,
20902,,1,,,1,1,,,1,,,,
20903,,,,,1,,1,,,,,,
20904,,1,,,1,,,,1,,,,
20905,,,,,,,,,,,,,
20907,,,,,,,,,,,,,
20908,,,1,,,,1,,,,,,
20911,,,,,,,,,,,,1,
20912,,,,,,,,,,,,,
20916,,,,,,,,,,,,,
20918,,,,,,,,,,,,,
20919,,,,,,,,,,,,,
20920,,,,1,,,,,,,,,
20922,,1,,1,,,,,,,,,
20925,,,,,,,,,,,,,
20927,,,,,,,,,,,,,
20928,,,,,,,,,,,,,
20930,,,,,,,,,,,,,
20931,,,,,,,,,,,,,
20932,,,,,,,,,,,,,
20934,,,,,,,,,,,,,
20935,,,,,,,,,,,,,
20936,,,,,,,,,,,,,
20937,,1,,,,,,,1,,,,
20938,,,,,,,,,,,,,
20939,,,,1,,,1,1,1,,,,
20940,,,,,,,,,,,,,
20942,,,,1,,,,,1,,,,
20943,,,,,,,,,1,,,,
20944,,,,,,1,1,,,,,,
20945,,,,,,,,,,,,,
20946,,,,1,,1,1,,1,,,1,
20949,,,,,1,,,,,,,,
20950,,,,1,,,,,,,,,
20951,,,,1,,,,,1,,,,
20952,,,,1,,1,1,,,,,,
20953,,,,,,,,,,,,,
20956,,,,1,,,1,,,,,1,
20957,,,,,,,1,,1,,,,
20959,,,,1,,,,,,,,,
20961,,,,,,,,,,,,,
20963,,,,1,,,,,1,,,1,
20965,,1,,1,,,,,1,,,,
20966,,,,,,,,,1,,,,
20967,,,,,,,,,,,,,
20968,,,,,1,,,,,,,,
20970,,,,,,,,,,,,,
20971,,1,,,,,,,1,,,,
20972,,,,,,,,,,,,,
20973,,,,,,,,,,,,,
20974,,,,,,,,,,,,,
20975,,,,,,,,,1,,,,
20977,,,,,1,,,,,,,,
20978,,,,,,1,,,,,,,
20980,,,1,,,,1,,,,,,
20981,,,1,,,,,,,,,,
20982,,,,,,,,,,,,,
20983,,,,,,,,,,,,,
20984,,,,,,,,,,,,,
20985,,,1,,,,1,,1,,,,
20987,,,,1,1,,,1,1,,,,
20988,,,,,1,,,,,,,,
20989,,1,,1,,,1,,1,,,,
20990,,,,,,,,,,,,,
20991,,,,,,,,,,,,,
20993,,,,,,,,,1,,,,
20994,,,,,,,,,,,,,
20996,,,,,,,,,,,,,
20997,,,,1,,,,,,,,,
20999,,,,,,,,,,,,,
21000,,,,,,,,,,,,,
21001,,,,,,,,,,,,,
21003,,,,,,,,,,,,,
21004,,,,,1,,,,1,,,,
21005,,,1,,,,1,,1,,,,
21006,,1,,,,,1,,1,,,,
21007,,,,1,,,,,,,,,
21009,,,,,,,,,,,,,
21011,,,,1,,,,,,1,,,
21013,,,,,,,,,,,,,
21014,,1,,,1,1,,,,,,,
21015,,,1,,,,,,,,,,
21016,,,,,,,,,,,,,
21017,,,,,,,,,,,,,
21018,,,,,,,,1,,,,,1
21019,,,,,,,1,,,,,,
21020,,,,,,,,,,,,,
21021,,,,1,,,,,,,,,
21022,,,,,,,,,,,,,
21023,,1,,,,,,,,,,,
21024,,,,1,,,,,,,,,
21026,,,,1,,,,,,,,,
21028,,,,,,,,,,,,1,
21030,,,,,,,,,,,,,
21031,,,,,,,,,,,,,
21032,,1,1,,,,,,,,,,
21033,,,,,,,,,,,,,
21035,,,,,,,1,,1,,,,
21037,,1,,,,,1,,1,,,,
21038,,,,,,,1,,1,,,,
21039,,,1,,1,,,,1,,,,
21040,,,,,,,,,,,,,
21041,,1,,1,,,1,,1,,,,
21042,,,,,,,1,,1,,,,
21043,,,,1,,,,,,,,1,
21045,,,,,,,,,1,,,,
21047,,1,,,,,,,1,,,,
21049,,,,,,,,,,,,,
21050,,,,,,,,,,,,,
21052,,,,,,1,1,,1,,,,
21054,,,,,,,,,,,,,
21055,,,,,,,1,,,,,,1
21057,,,,1,,,1,,,,,1,
21058,,,,,,,,,,,,,
21059,,,1,,,,1,,1,,,,
21060,,,,1,,,,,1,,,,
21061,,,,,,,,,,,,,
21062,,,,,,,,,,,,,
21065,,,,,,,,,,,,,
21066,,,,1,,,,,,,,,
21067,,,,1,1,1,,,1,,,,
21068,,,,1,,,1,,,,,,
21069,,,1,,,1,,,1,,,,
21070,,,,,,,,,,,,,
21075,,,,,,1,1,,,,,,
21076,,1,,,,,,,,,,,
21077,,,,,,,1,,,,,,
21078,,,,,,,1,,1,,,,
21079,,,,,,,,,,,,,
21080,,,,,,,,,,,,,
21082,,,,,,,,,,,,,
21083,,,,,,,,,,,,,
21085,,,,,,,,,,,,,
21086,,1,,,1,,1,,1,,,,
21087,,,1,,,1,1,,1,,,1,
21090,,,,,,1,,,,,,,
21091,,,,,,,1,,,,,,
21092,,,,,,,1,,1,,,,
21094,,1,,,,,,,,1,,,
21095,,,,,,,,,,,,,
21096,,,,,,,,,,,,,
21099,,,,,,,,,,1,,,
21101,,,,,,,,,,,,,
21102,,1,,,,,,,,,,,
21103,,,,,,,,,,,,,
21104,,,,,,,,,1,,,,
21106,,,,,,,1,,1,,,,
21108,,,,,,,,,,,,,
21110,,,,,,,,1,,,,,1
21111,,1,,,1,,,1,1,,,,
21112,,,,1,,,,,,,,,
21114,,,1,,,1,1,,,,,,
21115,,,,,,,,,,,,,
21119,,,1,,,,,,,,,,
21120,,,,,,,,,,,,,
21122,,1,,1,1,,,,,,,,
21123,,,1,,,,1,,1,1,,,
21124,,,,1,,,1,,,,,,
21126,,1,,,1,,,,1,,,,
21127,,1,,,1,,1,,1,1,,,
21128,,,,,,,1,,1,,,,
21129,,,,,,,,,,,,,
21130,,,,1,1,,1,1,,1,,,1
21132,,,,,,,,,,,,,
21133,,1,,,1,,,,,,,,
21134,,,,,,,,,,,,,
21135,,,,,,,,,,,,,
21136,,,,,,,,,,,,,
21137,,,,,,,,,,,,,
21138,,1,,,,,,,1,,,,
21139,,,,,,,,,,,,,
21140,,,,,,,,,,,,,
21142,,,,,,,,,,,,,
21145,,,,,,,,,,,,,
21146,,,,,,,,,,,,,
21150,,,,,,,,,,,,,
21151,,1,1,1,1,1,1,1,1,1,1,,1
21152,,,1,,,,1,,,,,,
21153,,,,1,,,1,,1,,,,
21154,,,1,,,,,,,,,,
21155,,1,,1,,,,,1,,,,
21156,,,,,,,,,,,,,
21157,,,1,,,,,,,,,,
21158,,,,,1,,1,,,,,,
21159,,,,,,,,,,,,,
21162,,,,,,,,1,,,,,
21163,,,,,,,,,,,,,
21166,,,,,,,,,,,,,
21167,,,,,,,,,,,,1,
21168,,,,,,,1,,,,,,
21171,,,,,,,,,,,,,
21172,,,,,,,,,,,,,
21175,,,,,,,,1,,1,1,,1
21179,,,1,,,,,,,,,,
21180,,,,,,,,,,,,,
21181,,,,,,,,,,,,,
21183,,,,1,,,,,,,,,
21184,,,,,,,,,,,,,
21185,,,,,1,,,,1,1,1,,
21187,,,1,,,,,,,,,,
21188,,,,,,,,,,,,,
21189,,,,,,,,,,,,,
21190,,,1,,,,,,,,,,
21191,,1,,,1,,1,1,1,1,,,
21194,,1,,,,,,,,,,,
21196,,1,,,,,,,1,,,1,
21197,,,,,,,,,,,,,
21199,,,,,,,,,1,,,,
21202,,,,,,,,,1,1,,,
21203,,,1,,,,,,,,,,
21205,,,,,,,,,,,,1,
21206,,,,,,,,,,,,,
21208,,,,,,,,,,,,,
21209,,,,,1,,,,,,,,1
21211,,,,,,,,,,,,,
21212,,,,,,,,,,,,1,
21213,,,,,,,,,,,,,
21214,,,1,,,,,,1,,,,
21215,,,1,,,,,,1,,,,
21218,,,,,,,,,1,,,,
21219,,,,,,,,,,,,,
21220,,,,,,,,,,,,,
21221,,,,,,,1,,1,,,,
21222,,1,,,,,1,,1,,,,
21223,,,,1,,,1,,1,,,,
21224,,,,,,,,,1,,,,
21226,,1,,,,,,,,,,,
21227,,1,,1,,,1,,1,,,,
21229,,1,,1,,,,,1,,,,
21230,,,,,1,,1,,,,,,
21232,,,,1,,,,,,,,,
21233,,1,1,1,,,1,,1,,,,
21234,,,,,,,,,,1,,,
21235,,1,,,,,,,1,,,,
21237,,,,,,,,,,,,,
21242,,,,,,,,,,,,,
21243,,,,,,,,,,,,,
21244,,,,,,,1,,1,,,,
21245,,,1,,,,,,,,,,
21246,,,,,,,,,,,,,
21247,,,,,,,,,,,,,
21249,,,,,,,,,,,,,
21250,,,,,,,,,,,,,
21251,,,,,,,,,,,,,
21252,,,,,,,,,,,,,
21254,,,,1,,,,,1,,,,
21255,,,,,,,,,,,,,
21257,,,1,,,1,,,,,,,
21258,,,,1,,1,1,,1,,,1,
21260,,,,,,,,,,,,,
21262,,1,,,,,,,1,,,,
21263,,,1,1,,,1,,,,,,
21265,,,,1,,,1,,1,,,,
21266,,,,1,,,1,,,,,,
21267,,,1,1,,,,,,,,,
21268,,,,,,,1,,1,,,,
21269,,,,1,,,,,1,,,,
21270,,,,,,,,,,,,,
21271,,,,1,,,,,,,,,
21272,,,,,,,,,,,,,
21273,,,,,,,,,,,,,
21274,,,,,,,,,,,,,
21275,,1,,,,,1,,,,,,
21276,,,,,,,,,,,,,
21277,,,,1,,,1,,,,,,
21279,,,,1,,,1,,1,,,,
21280,,,,1,,,1,,,,,,
21282,,,,,,,,,,,,,
21283,,,,1,,,,,,,,,
21286,,,,,,,,,1,,,,
21287,,1,,,,,1,,1,1,,,
21289,,,,,,,,,1,,,,
21291,,,,,,,,,,,,,
21292,,,,,,,,,,,,,
21293,,,,,,,,,,,,,
21295,,,,1,,,,,,,,,
21296,,1,,,,,,,1,,,,
21297,,,,,,,,,,,,,
21298,,,,,,1,,,1,,,,
21300,,1,,1,,,,,1,,,1,
21301,,1,,,1,,,,1,1,,,
21302,,,,,,,,,,,,,
21303,,1,1,,,,,,,,,,
21304,,,,,,1,1,,1,,,,
21305,,,1,,,,,,,,,,
21306,,,,,,,,,,,,,
21308,,,,,,,,,,,,,
21309,,,,1,,,,,,,,1,
21313,,,,,,1,1,,,,,,
21314,,,,,,,,,,,,,
21316,,,,1,,1,,,1,,,,
21317,,,,,,,,,,,,,
21318,,,,,,,1,,1,,,,
21321,,,,,,,,,,,,,
21322,,,,,,,,,,1,,,
21323,,,,,,,,,,,,,
21324,,,,1,,,,,1,,,,
21326,,1,,,,,,,1,,,,
21327,,,,,,,,,,,,,
21328,,1,1,,,,,,1,,,,
21330,,,,,,,,,,,,,
21331,,1,,,,,1,,1,,,,
21335,,,,,,,,,,,,,
21337,,,,,,,,,,,,,
21340,,,,1,,,1,,1,,,,
21341,,,,,,,,,,1,,,
21347,,,,,,,,,,,,,
